M<->R containerM:['14710252'] | containerR:['77424112'] | not better, but acccepted. | T= 999000000.0 | Number: 293
M<->R containerM:['74322802'] | containerR:['77424112'] | not better, but acccepted. | T= 998001000.0 | Number: 293
M<->R containerM:['86473193'] | containerR:['77424112'] | not better, but acccepted. | T= 997002999.0 | Number: 293
M<->R containerM:['26695468'] | containerR:['77424112'] | not better, but acccepted. | T= 996005996.0 | Number: 293
M<->R containerM:['74322802'] | containerR:['77424112'] | better score! | T= 995009990.0 | Number: 293
M<->R containerM:['61095390'] | containerR:['77424112'] | not better, but acccepted. | T= 994014980.0 | Number: 293
M<->R containerM:['99951826'] | containerR:['77424112'] | better score! | T= 993020965.0 | Number: 293
M<->R containerM:['28954585'] | containerR:['77424112'] | not better, but acccepted. | T= 992027944.1 | Number: 293
M<->R containerM:['86464691'] | containerR:['77424112'] | not better, but acccepted. | T= 991035916.1 | Number: 293
M<->R containerM:['29183252'] | containerR:['77424112'] | not better, but acccepted. | T= 990044880.2 | Number: 293
M<->R containerM:['25172159'] | containerR:['77424112'] | not better, but acccepted. | T= 989054835.3 | Number: 293
M<->R containerM:['17410508'] | containerR:['77424112'] | not better, but acccepted. | T= 988065780.5 | Number: 293
M<->R containerM:['90139478'] | containerR:['77424112'] | better score! | T= 987077714.7 | Number: 293
M<->R containerM:['74479790'] | containerR:['77424112'] | not better, but acccepted. | T= 986090637.0 | Number: 293
M<->R containerM:['85296118'] | containerR:['77424112'] | better score! | T= 985104546.4 | Number: 293
M<->R containerM:['88708842'] | containerR:['77424112'] | better score! | T= 984119441.8 | Number: 293
M<->R containerM:['73085672'] | containerR:['77424112'] | not better, but acccepted. | T= 983135322.4 | Number: 293
M<->R containerM:['59856278'] | containerR:['77424112'] | not better, but acccepted. | T= 982152187.1 | Number: 293
M<->R containerM:['14710252'] | containerR:['77424112'] | better score! | T= 981170034.9 | Number: 293
M<->R containerM:['14710252'] | containerR:['77424112'] | not better, but acccepted. | T= 980188864.8 | Number: 293
