M<->R containerM:['18457339'] | containerR:['66432663'] | better score! | T= 999000000.0 | Number: 422
M<->R containerM:['75665956'] | containerR:['22907790', '70728225', '66432663'] | not better, but acccepted. | T= 998001000.0 | Number: 422
M<->R containerM:['13510271'] | containerR:['12457109'] | better score! | T= 997002999.0 | Number: 422
M<->R containerM:['95756060'] | containerR:['12457109'] | not better, but acccepted. | T= 996005996.0 | Number: 422
M<->R containerM:['79988590'] | containerR:['12457109'] | better score! | T= 995009990.0 | Number: 422
M<->R containerM:['88708842'] | containerR:['12457109'] | not better, but acccepted. | T= 994014980.0 | Number: 422
M<->R containerM:['82854414'] | containerR:['12457109'] | not better, but acccepted. | T= 993020965.0 | Number: 422
M<->R containerM:['90139478'] | containerR:['12457109'] | better score! | T= 992027944.1 | Number: 422
M<->R containerM:['50054241'] | containerR:['12457109'] | not better, but acccepted. | T= 991035916.1 | Number: 422
M<->R containerM:['65395765'] | containerR:['12457109'] | not better, but acccepted. | T= 990044880.2 | Number: 422
M<->R containerM:['52863358'] | containerR:['97912558', '12457109'] | not better, but acccepted. | T= 989054835.3 | Number: 422
M<->R containerM:['19228099'] | containerR:['16521560'] | better score! | T= 988065780.5 | Number: 422
M<->R containerM:['23154228'] | containerR:['16521560'] | not better, but acccepted. | T= 987077714.7 | Number: 422
M<->R containerM:['89252984'] | containerR:['16521560'] | not better, but acccepted. | T= 986090637.0 | Number: 422
M<->R containerM:['89357542'] | containerR:['16521560'] | not better, but acccepted. | T= 985104546.4 | Number: 422
M<->R containerM:['60919573'] | containerR:['16521560'] | not better, but acccepted. | T= 984119441.8 | Number: 422
M<->R containerM:['83154690'] | containerR:['16521560'] | better score! | T= 983135322.4 | Number: 422
M<->R containerM:['67703078'] | containerR:['16521560'] | not better, but acccepted. | T= 982152187.1 | Number: 422
M<->R containerM:['98781169'] | containerR:['16521560'] | better score! | T= 981170034.9 | Number: 422
M<->R containerM:['45216707'] | containerR:['16521560'] | not better, but acccepted. | T= 980188864.8 | Number: 422
M<->R containerM:['98781169'] | containerR:['16521560'] | not better, but acccepted. | T= 979208676.0 | Number: 422
M<->R containerM:['82454139'] | containerR:['16521560'] | not better, but acccepted. | T= 978229467.3 | Number: 422
M<->R containerM:['62900531'] | containerR:['16521560'] | not better, but acccepted. | T= 977251237.8 | Number: 422
M<->R containerM:['73085672'] | containerR:['16521560'] | not better, but acccepted. | T= 976273986.6 | Number: 422
M<->R containerM:['52995730'] | containerR:['16521560'] | better score! | T= 975297712.6 | Number: 422
M<->R containerM:['66042029'] | containerR:['16521560'] | not better, but acccepted. | T= 974322414.9 | Number: 422
M<->R containerM:['41226346'] | containerR:['16521560'] | not better, but acccepted. | T= 973348092.5 | Number: 422
M<->R containerM:['93754802'] | containerR:['16521560'] | not better, but acccepted. | T= 972374744.4 | Number: 422
M<->R containerM:['69538525'] | containerR:['16521560'] | not better, but acccepted. | T= 971402369.6 | Number: 422
M<->R containerM:['39774950'] | containerR:['16521560'] | better score! | T= 970430967.3 | Number: 422
M<->R containerM:['95691280'] | containerR:['16521560'] | not better, but acccepted. | T= 969460536.3 | Number: 422
M<->R containerM:['12686149'] | containerR:['16521560'] | not better, but acccepted. | T= 968491075.8 | Number: 422
M<->R containerM:['14753231'] | containerR:['16521560'] | not better, but acccepted. | T= 967522584.7 | Number: 422
