M<->R containerM:['14767712'] | containerR:['16178577'] | better score! | T= 999000000.0 | Number: 1180
M<->R containerM:['93217972'] | containerR:['16178577'] | not better, but acccepted. | T= 998001000.0 | Number: 1180
M<->R containerM:['27050737'] | containerR:['16178577'] | not better, but acccepted. | T= 997002999.0 | Number: 1180
M<->R containerM:['26352417'] | containerR:['16178577'] | not better, but acccepted. | T= 996005996.0 | Number: 1180
M<->R containerM:['23468874'] | containerR:['16178577'] | not better, but acccepted. | T= 995009990.0 | Number: 1180
M<->R containerM:['46586113'] | containerR:['16178577'] | not better, but acccepted. | T= 994014980.0 | Number: 1180
M<->R containerM:['49952036'] | containerR:['16178577'] | not better, but acccepted. | T= 993020965.0 | Number: 1180
M<->R containerM:['59052066'] | containerR:['16178577'] | not better, but acccepted. | T= 992027944.1 | Number: 1180
M<->R containerM:['13776054'] | containerR:['16178577'] | not better, but acccepted. | T= 991035916.1 | Number: 1180
M<->R containerM:['34208163'] | containerR:['16178577'] | not better, but acccepted. | T= 990044880.2 | Number: 1180
M<->R containerM:['91838847'] | containerR:['16178577'] | not better, but acccepted. | T= 989054835.3 | Number: 1180
M<->R containerM:['14322704'] | containerR:['16178577'] | not better, but acccepted. | T= 988065780.5 | Number: 1180
M<->R containerM:['30289365'] | containerR:['16178577'] | not better, but acccepted. | T= 987077714.7 | Number: 1180
M<->R containerM:['21900153'] | containerR:['16178577'] | not better, but acccepted. | T= 986090637.0 | Number: 1180
M<->R containerM:['71947908'] | containerR:['16178577'] | not better, but acccepted. | T= 985104546.4 | Number: 1180
M<->R containerM:['67267550'] | containerR:['16178577'] | not better, but acccepted. | T= 984119441.8 | Number: 1180
M<->R containerM:['95116045'] | containerR:['16178577'] | better score! | T= 983135322.4 | Number: 1180
M<->R containerM:['32990202'] | containerR:['16178577'] | not better, but acccepted. | T= 982152187.1 | Number: 1180
M<->R containerM:['33998819'] | containerR:['16178577'] | not better, but acccepted. | T= 981170034.9 | Number: 1180
M<->R containerM:['56088506'] | containerR:['16178577'] | not better, but acccepted. | T= 980188864.8 | Number: 1180
M<->R containerM:['28742570'] | containerR:['16178577'] | not better, but acccepted. | T= 979208676.0 | Number: 1180
M<->R containerM:['51340603'] | containerR:['16178577'] | better score! | T= 978229467.3 | Number: 1180
M<->R containerM:['34048966'] | containerR:['16178577'] | not better, but acccepted. | T= 977251237.8 | Number: 1180
M<->R containerM:['54488150'] | containerR:['16178577'] | not better, but acccepted. | T= 976273986.6 | Number: 1180
M<->R containerM:['17721471'] | containerR:['16178577'] | not better, but acccepted. | T= 975297712.6 | Number: 1180
M<->R containerM:['98801554'] | containerR:['16178577'] | not better, but acccepted. | T= 974322414.9 | Number: 1180
M<->R containerM:['13010337'] | containerR:['16178577'] | not better, but acccepted. | T= 973348092.5 | Number: 1180
M<->R containerM:['66203743'] | containerR:['16178577'] | not better, but acccepted. | T= 972374744.4 | Number: 1180
M<->R containerM:['11494271'] | containerR:['16178577'] | not better, but acccepted. | T= 971402369.6 | Number: 1180
M<->R containerM:['55533805'] | containerR:['16178577'] | not better, but acccepted. | T= 970430967.3 | Number: 1180
M<->R containerM:['81463842'] | containerR:['16178577'] | not better, but acccepted. | T= 969460536.3 | Number: 1180
M<->R containerM:['93217972'] | containerR:['16178577'] | not better, but acccepted. | T= 968491075.8 | Number: 1180
M<->R containerM:['17986347'] | containerR:['16178577'] | not better, but acccepted. | T= 967522584.7 | Number: 1180
M<->R containerM:['12433921'] | containerR:['16178577'] | not better, but acccepted. | T= 966555062.1 | Number: 1180
M<->R containerM:['62413914'] | containerR:['16178577'] | not better, but acccepted. | T= 965588507.0 | Number: 1180
M<->R containerM:['97797376'] | containerR:['16178577'] | not better, but acccepted. | T= 964622918.5 | Number: 1180
M<->R containerM:['58473941'] | containerR:['78732741', '16178577'] | better score! | T= 963658295.6 | Number: 1180
M<->R containerM:['10215323'] | containerR:['69779891'] | not better, but acccepted. | T= 962694637.3 | Number: 1180
M<->R containerM:['98801554'] | containerR:['69779891'] | not better, but acccepted. | T= 961731942.7 | Number: 1180
M<->R containerM:['24195859'] | containerR:['69779891'] | not better, but acccepted. | T= 960770210.7 | Number: 1180
M<->R containerM:['86251631'] | containerR:['69779891'] | not better, but acccepted. | T= 959809440.5 | Number: 1180
M<->R containerM:['12553642'] | containerR:['69779891'] | not better, but acccepted. | T= 958849631.1 | Number: 1180
M<->R containerM:['37797077'] | containerR:['69779891'] | not better, but acccepted. | T= 957890781.5 | Number: 1180
M<->R containerM:['89955880'] | containerR:['69779891'] | not better, but acccepted. | T= 956932890.7 | Number: 1180
M<->R containerM:['44300912'] | containerR:['69779891'] | not better, but acccepted. | T= 955975957.8 | Number: 1180
M<->R containerM:['77960546'] | containerR:['69779891'] | not better, but acccepted. | T= 955019981.8 | Number: 1180
M<->R containerM:['73255162'] | containerR:['69779891'] | not better, but acccepted. | T= 954064961.8 | Number: 1180
M<->R containerM:['65240645'] | containerR:['69779891'] | not better, but acccepted. | T= 953110896.9 | Number: 1180
M<->R containerM:['71564146'] | containerR:['69779891'] | not better, but acccepted. | T= 952157786.0 | Number: 1180
M<->R containerM:['53919679'] | containerR:['69779891'] | not better, but acccepted. | T= 951205628.2 | Number: 1180
M<->R containerM:['27643686'] | containerR:['69779891'] | not better, but acccepted. | T= 950254422.6 | Number: 1180
M<->R containerM:['51552911'] | containerR:['69779891'] | not better, but acccepted. | T= 949304168.1 | Number: 1180
M<->R containerM:['94428707'] | containerR:['69779891'] | not better, but acccepted. | T= 948354864.0 | Number: 1180
M<->R containerM:['29313815'] | containerR:['69779891'] | not better, but acccepted. | T= 947406509.1 | Number: 1180
M<->R containerM:['37391332'] | containerR:['69779891'] | not better, but acccepted. | T= 946459102.6 | Number: 1180
M<->R containerM:['79300216'] | containerR:['69779891'] | not better, but acccepted. | T= 945512643.5 | Number: 1180
M<->R containerM:['47698539'] | containerR:['69779891'] | not better, but acccepted. | T= 944567130.9 | Number: 1180
M<->R containerM:['16009438'] | containerR:['69779891'] | not better, but acccepted. | T= 943622563.7 | Number: 1180
M<->R containerM:['75174063'] | containerR:['69779891'] | not better, but acccepted. | T= 942678941.2 | Number: 1180
M<->R containerM:['16009438'] | containerR:['69779891'] | not better, but acccepted. | T= 941736262.2 | Number: 1180
M<->R containerM:['11636537'] | containerR:['69779891'] | not better, but acccepted. | T= 940794526.0 | Number: 1180
M<->R containerM:['55727514'] | containerR:['69779891'] | not better, but acccepted. | T= 939853731.4 | Number: 1180
M<->R containerM:['69969741'] | containerR:['69779891'] | not better, but acccepted. | T= 938913877.7 | Number: 1180
M<->R containerM:['33678860'] | containerR:['69779891'] | not better, but acccepted. | T= 937974963.8 | Number: 1180
M<->R containerM:['10081935'] | containerR:['69779891'] | not better, but acccepted. | T= 937036988.9 | Number: 1180
M<->R containerM:['89767009'] | containerR:['69779891'] | not better, but acccepted. | T= 936099951.9 | Number: 1180
M<->R containerM:['95454836'] | containerR:['69779891'] | not better, but acccepted. | T= 935163851.9 | Number: 1180
M<->R containerM:['19782614'] | containerR:['69779891'] | not better, but acccepted. | T= 934228688.1 | Number: 1180
M<->R containerM:['89767009'] | containerR:['69779891'] | not better, but acccepted. | T= 933294459.4 | Number: 1180
M<->R containerM:['31566132'] | containerR:['69779891'] | not better, but acccepted. | T= 932361164.9 | Number: 1180
M<->R containerM:['94428707'] | containerR:['69779891'] | not better, but acccepted. | T= 931428803.8 | Number: 1180
M<->R containerM:['88016312'] | containerR:['69779891'] | not better, but acccepted. | T= 930497375.0 | Number: 1180
M<->R containerM:['79924803'] | containerR:['69779891'] | not better, but acccepted. | T= 929566877.6 | Number: 1180
M<->R containerM:['42486634'] | containerR:['69779891'] | not better, but acccepted. | T= 928637310.7 | Number: 1180
M<->R containerM:['23126002'] | containerR:['69779891'] | not better, but acccepted. | T= 927708673.4 | Number: 1180
M<->R containerM:['59778921'] | containerR:['69779891'] | not better, but acccepted. | T= 926780964.7 | Number: 1180
M<->R containerM:['77508627'] | containerR:['69779891'] | not better, but acccepted. | T= 925854183.8 | Number: 1180
M<->R containerM:['19167878'] | containerR:['69779891'] | not better, but acccepted. | T= 924928329.6 | Number: 1180
M<->R containerM:['39141964'] | containerR:['69779891'] | not better, but acccepted. | T= 924003401.2 | Number: 1180
M<->R containerM:['71490369'] | containerR:['69779891'] | not better, but acccepted. | T= 923079397.8 | Number: 1180
M<->R containerM:['74877554'] | containerR:['69779891'] | not better, but acccepted. | T= 922156318.4 | Number: 1180
M<->R containerM:['40004477'] | containerR:['69779891'] | not better, but acccepted. | T= 921234162.1 | Number: 1180
